trimester,channel_leaning,n_videos,n_comments_total,mean_techniques_video_avg
2020-S1,Left,124,75788,2.2613342710914126
2020-S1,Right,60,42119,2.530741063837313
2020-S2,Left,216,104715,2.269896563336558
2020-S2,Right,48,21993,2.4521994469220534
2021-S1,Left,530,309763,2.272333424806668
2021-S1,Right,330,183706,2.4766003538367896
2021-S2,Left,601,233286,2.4002542490237366
2021-S2,Right,446,173751,2.731765834169627
2022-S1,Left,766,205013,2.492700933464457
2022-S1,Right,421,176796,2.7097811966756984
2022-S2,Left,796,260407,2.556165926070607
2022-S2,Right,540,207053,2.6708071630732575
2023-S1,Left,800,189397,2.554478585118445
2023-S1,Right,520,168409,2.6805375746576696
2023-S2,Left,854,264513,2.5373782659753483
2023-S2,Right,600,272271,2.6805392330735045
2024-S1,Left,1223,364154,2.3781159954964712
2024-S1,Right,953,595848,2.7143932872628986
2024-S2,Left,1027,277282,2.285558975971048
2024-S2,Right,819,415371,2.5205827970640007
