term,diff
cartel,-0.011087009892822557
country,-0.006974519426153417
drug,-0.004216214524631491
americans,-0.0036648332826294244
mexico,-0.0036594084838685588
black,-0.0034940507306445152
florida,-0.0030840509929018368
kid,-0.003070537549982491
jail,-0.002721543687131944
china,-0.002589900381222367
white,-0.002395190920911146
dangerous,-0.002299907642826949
man,-0.0022562960373373464
fentanyl,-0.002158344836668732
shooting,-0.0021172853698738165
gun,-0.002001016586292647
america,-0.0019708128907702203
immigrant,-0.0017726501027521963
chinese,-0.0017603718008003387
criminal,-0.001706130525000761
administration,-0.0016958721268731274
free,-0.0016002769789601472
society,-0.001591771227579164
violence,-0.0015319502958099232
russian,-0.0015161172854095055
mexican,-0.001514962461025827
great,-0.0014763075078281205
mexicans,-0.0014385352220799255
boat,-0.0014159302026753116
woman,-0.0013986771085570532
community,-0.0013961359712940753
door,-0.001357607792236235
life,-0.0013392300857979393
homeless,-0.0013361722374453273
thing,-0.0013297488343011164
job,-0.0012857533809580409
little,-0.0012676659943449873
guy,-0.0012563846523329218
trans,-0.0012181065014069744
democratic,-0.001217842304014421
gang,-0.0011834529839494764
girl,-0.00117120285492163
police,-0.0011620318961169974
invader,-0.0011313689538165047
problem,-0.001120441430117131
tate,-0.0011042581674619379
scary,-0.0011037365077569746
safe,-0.0010933004082913436
female,-0.001089691702303938
house,-0.0010595849390909002
hard,-0.0010461294896218112
bullet,-0.0010393434526988704
people,-0.0010285643980338446
time,-0.0009978368723979883
racist,-0.0009942797823827838
security,-0.0009898234563243298
position,-0.0009616798800886725
beginning,-0.0009568393785268169
ready,-0.0009516146451631576
place,-0.0009264380153909554
story,-0.0009259334559002862
company,-0.0009196131651506351
mass shooting,-0.0009097479687012848
romanian,-0.0009003123139987154
subway,-0.0008974162062688236
damage,-0.0008939892022047616
school,-0.0008856521981827621
person,-0.0008838175871442554
prison,-0.0008825443933850592
risk,-0.0008793446780119118
cartels,-0.0008670416358439588
democratic party,-0.0008635139380195386
bad,-0.0008464562979446384
chance,-0.0008437358245671795
need,-0.0008434472749657153
history,-0.0008370082264807519
truth,-0.0008363923979882239
idea,-0.0008356070117517891
couple,-0.0008288048090998807
authority,-0.0008278253069604914
disease,-0.0008276390561585655
afraid,-0.000811598185406642
dollar,-0.0008076611793194871
fear,-0.0008008576961600097
tragedy,-0.0007979804010059786
satan,-0.0007915070756521769
foreigner,-0.0007828062400735594
democrat,-0.0007806335320807445
ccp,-0.0007801492027319124
el,-0.0007751421012025967
pandemic,-0.0007656472427889703
economy,-0.0007646872093525743
san,-0.0007578644042919237
wave,-0.0007504708179717613
member,-0.0007494045985112607
view,-0.0007387756514925933
sure,-0.0007261829894302492
bit,-0.0007235200990757559
