term,diff
country,-0.017165462978859864
refugee,-0.015535220676096922
ukraine,-0.01465573553624024
white,-0.01374469499026541
black,-0.010630786309954173
war,-0.0103113774611389
ukrainians,-0.00855234167620876
ukrainian,-0.00701108927049502
russia,-0.005917103361279753
racism,-0.005668678592679326
poland,-0.005602700919171527
man,-0.0049463658558510475
child,-0.004414940640115331
peanut,-0.004264602280178026
usa,-0.003969150596289384
europe,-0.003938035375862595
racist,-0.0038479015325066732
america,-0.003716300064920507
russians,-0.003581545576154757
iraq,-0.003438509711325408
discrimination,-0.0034044045222465353
woman,-0.003348594633820246
putin,-0.0032944800567109556
african,-0.0032398858295626535
world,-0.0031044260298966142
european,-0.003055856106112144
life,-0.0030217349288815523
syria,-0.0027640961948166877
double,-0.0027109832916023527
woman child,-0.002683958633694288
syrian,-0.0026748340740261967
afghanistan,-0.00263167818566375
white people,-0.0025565667136952315
foreigner,-0.0025416996399122847
train,-0.0024990660430960804
race,-0.002462608531061085
muslim,-0.0023554674240280063
africans,-0.002340064325301386
western,-0.002313059524606055
europeans,-0.0023097359681308067
double standard,-0.002291827789141454
innocent,-0.0022908504324758855
black people,-0.0021548235681359256
invasion,-0.0021313911473677272
standard,-0.0021229354284132028
west,-0.0021175538476357406
land,-0.002111578871641283
africa,-0.0021084269944467607
baby,-0.0020577107135373485
russian,-0.002028564500685411
skin,-0.0020116968829531775
nato,-0.0020074736080022497
color,-0.001988580029286382
student,-0.001909397650066052
haitians,-0.0018570764279833094
smoothie,-0.001855635251519258
foreign,-0.0018463742236279476
trump,-0.0017470139274898423
time,-0.0017357037761752602
asian,-0.001725802670713292
brown,-0.0016857619311000244
middle east,-0.0016584677992133473
equality,-0.0016317652753597678
able,-0.0016170700004234568
east,-0.0016112028854114156
american,-0.0016111566126796604
eastern,-0.0016047171586660765
different,-0.0015752257539611287
india,-0.0015583562032304638
kid,-0.0015450759104899871
haitian,-0.001518082839153354
non,-0.001500582446011941
refuge,-0.0014735312184220853
sorry,-0.0014605445354718427
history,-0.0014164367668543878
middle,-0.001408055818479415
syrian refugee,-0.0013712590065731607
ukrainian refugee,-0.0013528902036663815
polish,-0.0013524589285706947
peanut smoothie,-0.0013107602487724755
civilian,-0.0013023688221275097
germany,-0.0012684827813673216
way,-0.0012629186785802944
sanction,-0.001243965422611893
male,-0.0012430485608953715
eu,-0.001242230240002275
safety,-0.001230832523187955
south,-0.001225543728101652
syrians,-0.0012243621117623276
reason,-0.001179953250156965
sympathy,-0.0011742775782223214
freedom,-0.0011659497530251161
card,-0.0011649454227856573
indian,-0.0011590033888692645
nazi,-0.0011501441714171067
yemen,-0.0011366267579911015
indians,-0.0011350128741294259
medium,-0.0011326787608521667
situation,-0.0011190381826924071
skin color,-0.0010957057560112382
congo,-0.001091905130521438
asians,-0.0010862879812326988
china,-0.0010715084717323321
gay,-0.001071271986938314
victim,-0.0010560291159048393
ukraine border,-0.001049073424012179
smoothie peanut,-0.0010487005522066746
weapon,-0.0010477257982281019
girl,-0.0010316476544559956
attention,-0.0010258089402905633
treatment,-0.0010189001369136337
person,-0.0010165030680254965
ukranian,-0.0010161376817806554
white refugee,-0.0010155894396162626
government,-0.001014334640767767
ur,-0.000998093220399412
non white,-0.0009839242490621933
dictator,-0.0009547379450767313
canada,-0.0009545248298359153
peanut butter,-0.0009537184247523485
butter,-0.0009479378586268645
terrorist,-0.0009403939326645448
son,-0.0009252689585471384
people america,-0.00091360083361988
privilege,-0.000908734177839785
democracy,-0.0009084939212860174
japanese,-0.0008965318100048118
medical,-0.0008945005729737517
libya,-0.0008897934679708312
palestine,-0.00088362883161344
black woman,-0.0008823350477757414
middle eastern,-0.0008739132931556197
russia ukraine,-0.0008685815270262151
bomb,-0.0008626894316622479
minority,-0.0008611829683457754
country war,-0.0008447834882176953
european country,-0.0008447208042815403
arab,-0.00084250616881449
entry,-0.000837059688997427
war crime,-0.0008342421857784424
fellow,-0.0008335657278074438
blm,-0.0008297646051344394
business,-0.0008285456775326359
iraq afghanistan,-0.0008250362253111898
fact,-0.0008204612883161867
govt,-0.0008196219330110511
white country,-0.0008164643599417838
war refugee,-0.0008159148652922961
conflict,-0.0008122011115882995
muslims,-0.0008121071723416462
priority,-0.0008114476676595993
formula,-0.0008066005091390629
israel,-0.0008065385311722619
tho,-0.0008054566471580735
gas,-0.0008037891719603927
allergy,-0.0007949775856041219
allergic,-0.0007933069243375412
homeland,-0.0007827845467224325
zone,-0.0007814282640854612
group,-0.0007621820457832213
oil,-0.0007550389797789045
mexico,-0.0007471974057159381
pakistan,-0.0007387132349852186
peaceful,-0.000738056227711655
white ukrainians,-0.0007352357127550935
sense,-0.0007335325089835327
france,-0.0007331589802848052
certain,-0.0007248143820599633
comment,-0.0007214668189641538
nation,-0.0007135707891315485
eye,-0.0007113954888546875
nationality,-0.0007104416574141824
society,-0.0007082127199621793
black man,-0.000707160198785461
opinion,-0.0007053750804753736
peanut allergy,-0.0006951916762182506
real,-0.0006946954804062425
war country,-0.0006917236557086952
age,-0.0006893601179751672
line,-0.0006883069457694036
white man,-0.0006870349176445274
force,-0.0006754951202419667
chinese,-0.0006754353721073889
people war,-0.0006720033898939312
