term,diff
kid,-0.035184544857429334
child,-0.023253736152641313
parent,-0.016607194833320058
boy,-0.010314828399736652
poor kid,-0.006240368522746933
poor,-0.005588670637350499
little,-0.004823371540098202
border,-0.003639140439274706
child parent,-0.0032748860667007737
poor baby,-0.0032410783289809576
poor child,-0.003218779304928625
mother,-0.003202101121537246
poor boy,-0.0029238385244716885
desert,-0.0029202039311077145
mom,-0.0028413340851186015
little boy,-0.0028395352946858584
cage,-0.002671555454236716
scared,-0.0026196986551991395
care,-0.002601531723774718
kid parent,-0.0025212578182408434
homeless,-0.002516845333179205
facility,-0.0023730327765040652
violence,-0.0023370780079392407
place,-0.0022781276994502794
old,-0.0020719983878587714
condition,-0.00205435569090674
bad kid,-0.0019896687957079023
parent child,-0.0019365302010315062
hungry,-0.0018905160803083703
adult,-0.0018656507410970305
year old,-0.0017987709339960531
poor little,-0.0017555911221905668
poverty,-0.0017438859421772196
cruel,-0.0017378603189860463
kid border,-0.0017081711928438792
cartel,-0.0016973322526209415
future,-0.0016660403208923341
family,-0.0016639416584847064
street,-0.0015869454242151736
sad child,-0.001562753771803548
journey,-0.001560283183218077
bad,-0.0015596617591977745
kid family,-0.0015277170467571579
child family,-0.0015072572798157568
asylum,-0.0014787038138345744
mexico,-0.0014781704736666313
dangerous,-0.0014775536678667677
omg,-0.0014711305967402262
floor,-0.001465796176698109
trump,-0.001431679572994333
unemployed,-0.001414847980939711
american child,-0.001404339371301535
parent kid,-0.0014035592928469238
camp,-0.001386200621550704
able,-0.0013720512100189358
guy,-0.001371219889406808
thing,-0.001359455905743376
gang,-0.001297325753846793
way,-0.0012883579168443222
tent,-0.0012880466297680775
young,-0.0012593456094549104
people bad,-0.0012539953892625575
struggle,-0.00124163917674766
okay,-0.0012311590398819776
relative,-0.0012238966725238594
suffering,-0.0012225923497005235
usa,-0.0012190760748485917
abuse,-0.001201145320967648
opportunity,-0.0011990549082486592
crisis,-0.0011803793575743526
child child,-0.0011757741356126128
detention,-0.0011688096744797737
hard,-0.0011611318200282954
foster,-0.0011503984375646988
bad situation,-0.0011242793854679704
trafficker,-0.0011028009256060266
unaccompanied,-0.001039482441017503
nicaragua,-0.0010367148496519475
pain,-0.0010276301336070237
chance,-0.0010273155052772692
true,-0.0009872812964192641
tough,-0.0009869495550069581
america,-0.0009811092450565584
option,-0.0009766223638688406
kid cage,-0.0009696285742542305
story,-0.0009535760229591613
age,-0.0009506477597700673
unemployment,-0.0009385035221938261
state,-0.0009296786517102214
little kid,-0.0009284185709153099
tear,-0.0009193020089736288
dad,-0.0008774045658075107
immigrant,-0.0008703220219311485
pity,-0.0008541701375258879
break,-0.000840028740459309
process,-0.0008302268365134682
city,-0.0008226907545883012
blanket,-0.0008183633547274407
million americans,-0.0008178899666323855
child border,-0.0008124549930525206
horrible,-0.0007965357424469912
wrong,-0.0007964202649880605
brother,-0.0007903401341502342
desperate,-0.0007875839661629028
middle,-0.0007820839372362641
homeless child,-0.0007774409064244756
family life,-0.0007737922383985873
stranger,-0.000773688647617369
lucky,-0.0007679460534730563
person,-0.0007553341483750749
biden,-0.0007539465839175277
sad thing,-0.0007539115785314452
trafficking,-0.0007513612738874895
legal,-0.0007505688306570831
hour,-0.0007410472354090149
people job,-0.000740020055758261
people kid,-0.0007302248318048575
tired,-0.0007296851468942358
kid life,-0.0007099023787689805
dark,-0.0007091090582126992
overcrowded,-0.0007005227945808415
crap,-0.0006972918204243722
