technique,trimester_t,trimester_t1,n_spans_t,n_spans_t1,cosine_distance
appeal to authority,2020-S1,2020-S2,6102,7061,0.01795036603377209
appeal to authority,2020-S2,2021-S1,7061,20392,0.015024623467050913
appeal to authority,2021-S1,2021-S2,20392,16862,0.006860330162416273
appeal to authority,2021-S2,2022-S1,16862,15851,0.004116929879200204
appeal to authority,2022-S1,2022-S2,15851,20336,0.011532205866785605
appeal to authority,2022-S2,2023-S1,20336,14253,0.0031323183227228713
appeal to authority,2023-S1,2023-S2,14253,25179,0.014803277451338914
appeal to authority,2023-S2,2024-S1,25179,43127,0.008779579665171622
appeal to authority,2024-S1,2024-S2,43127,32335,0.018251651243125555
"appeal to fear, prejudice",2020-S1,2020-S2,22271,19527,0.007396204695041431
"appeal to fear, prejudice",2020-S2,2021-S1,19527,86925,0.006546622771227417
"appeal to fear, prejudice",2021-S1,2021-S2,86925,98678,0.012236844240309797
"appeal to fear, prejudice",2021-S2,2022-S1,98678,97092,0.011632200288585026
"appeal to fear, prejudice",2022-S1,2022-S2,97092,106757,0.016364178422456077
"appeal to fear, prejudice",2022-S2,2023-S1,106757,85981,0.002284840820892975
"appeal to fear, prejudice",2023-S1,2023-S2,85981,153196,0.022310688974912618
"appeal to fear, prejudice",2023-S2,2024-S1,153196,201170,0.00813783511260846
"appeal to fear, prejudice",2024-S1,2024-S2,201170,125012,0.00623146939829089
appeal to hypocrisy (to quoque),2020-S1,2020-S2,11999,10785,0.01771385577158313
appeal to hypocrisy (to quoque),2020-S2,2021-S1,10785,50226,0.00866399902961279
appeal to hypocrisy (to quoque),2021-S1,2021-S2,50226,39770,0.012837344224017833
appeal to hypocrisy (to quoque),2021-S2,2022-S1,39770,40401,0.0159356256604245
appeal to hypocrisy (to quoque),2022-S1,2022-S2,40401,58731,0.038740260948829874
appeal to hypocrisy (to quoque),2022-S2,2023-S1,58731,34088,0.007716260553783383
appeal to hypocrisy (to quoque),2023-S1,2023-S2,34088,58131,0.010820659072999783
appeal to hypocrisy (to quoque),2023-S2,2024-S1,58131,73975,0.0068418025260985615
appeal to hypocrisy (to quoque),2024-S1,2024-S2,73975,48105,0.00769319505839372
appeal to pity,2020-S1,2020-S2,3624,5577,0.0168218669323138
appeal to pity,2020-S2,2021-S1,5577,20754,0.009811228543556871
appeal to pity,2021-S1,2021-S2,20754,15953,0.022252089761904292
appeal to pity,2021-S2,2022-S1,15953,17060,0.008948402669480271
appeal to pity,2022-S1,2022-S2,17060,15479,0.020284741227694192
appeal to pity,2022-S2,2023-S1,15479,11956,0.003896982658308512
appeal to pity,2023-S1,2023-S2,11956,16469,0.007189134778743833
appeal to pity,2023-S2,2024-S1,16469,18237,0.006669346906676199
appeal to pity,2024-S1,2024-S2,18237,14215,0.003915213273995022
