term,diff
israel,-0.023428127817227074
hamas,-0.01925910335222349
palestinians,-0.011224535839083843
gaza,-0.009306218340217859
land,-0.007737871867733251
egypt,-0.006943889127230057
palestine,-0.00637375448261806
war,-0.005789360942769623
jews,-0.0047175049947034385
palestinian,-0.0045239187473474106
israeli,-0.0043676668239824865
civilian,-0.0042169696571898235
genocide,-0.003728045776189863
arab,-0.0031837984833153195
mexico,-0.003039608762275976
wall,-0.0027887179804164386
peace,-0.0027132280049631564
place,-0.0026747511147263317
attack,-0.002531275568177634
terrorist,-0.0024846805808016407
state,-0.0023085481116438076
conflict,-0.0022650830827902844
occupation,-0.002261318698216967
immigration,-0.0021623062101819284
israelis,-0.002075377663266967
isreal,-0.002066522144753607
jewish,-0.002012407461910589
nation,-0.001970453907910128
netanyahu,-0.001846879055869825
resource,-0.0018141844160123822
population,-0.0018091496500464207
west,-0.0017273977255092348
water,-0.0016695025752340828
religion,-0.001659456682236043
texas,-0.0016399357264907993
israel hamas,-0.0016159153167374753
weapon,-0.0015796614919092095
life,-0.0015693541665581685
death,-0.0015580622597945767
issue,-0.00154085846328695
native,-0.0015395778503775738
child,-0.0015176820252228965
abortion,-0.0015075697791471694
hamas israel,-0.0014941739439662532
federal,-0.0014857907947597128
bank,-0.0014702054016092064
thousand,-0.0014673928073627876
human,-0.0014630060787007304
solution,-0.0014484608379991594
innocent,-0.0014440506732006086
family,-0.0014405405842235733
east,-0.0014380719095555728
hate,-0.001421930384101127
west bank,-0.0014151773670352085
parent,-0.0014064139352512807
violence,-0.0014032981976235801
choice,-0.0013758342986732574
aid,-0.0013757963385725932
jordan,-0.0013754541834549985
middle east,-0.0013575326384576952
venezuela,-0.0013435571034563327
settlement,-0.0013216164410178493
action,-0.0013126662703799772
area,-0.001311367194347762
woman,-0.0012952072224825318
palestinians hamas,-0.0012922901080754069
arabs,-0.001265153283515717
apartheid,-0.0012555565977804095
south,-0.0012319839126322452
state solution,-0.00122951468559594
region,-0.0012278116306289812
europeans,-0.0012238212248332373
israel gaza,-0.0012082499018139924
worker,-0.001176417500339892
people,-0.0011453938966516364
middle,-0.0011348664710798613
wire,-0.0011315334487528232
decade,-0.0011272514705093191
fact,-0.0011270693753921844
zionist,-0.0011251661287560901
ppl,-0.0011111681139848555
settler,-0.0011001738338765066
process,-0.0010772431415989807
visa,-0.001075946788681374
crossing,-0.0010749462615377763
idf,-0.0010664155357247933
safe,-0.0010439486286932436
