trimester,technique,n_spans_left,n_spans_right,cosine_distance_left_right
2020-S1,appeal to authority,4103,1999,0.025983148891757568
2020-S1,"appeal to fear, prejudice",14634,7637,0.020311286719045474
2020-S1,appeal to hypocrisy (to quoque),8933,3066,0.0341802342498877
2020-S1,appeal to pity,2939,685,0.021576409722862788
2020-S1,appeal to popularity (bandwagon),3361,2265,0.029631434939227375
2020-S1,appeal to time,1933,2372,0.009661944610763418
2020-S1,appeal to values/flag waving,23660,13791,0.03269323765141663
2020-S1,black-and-white fallacy,11274,6321,0.04003569347164848
2020-S1,causal oversimplification,11161,4432,0.02814842635261261
2020-S1,distraction,2717,769,0.02287159118870774
2020-S1,exaggeration or minimisation,11849,7950,0.020678477631943748
2020-S1,intentional vagueness,378,216,0.023276719135823964
2020-S1,loaded language,56818,31467,0.005908624725438405
2020-S1,name calling,97456,52498,0.022239239521047227
2020-S1,reductio ad hitlerum,1590,858,0.022773390613123112
2020-S1,repetition,32569,17144,0.011740156627511378
2020-S1,slogans,11283,11334,0.018165934065106137
2020-S1,smears/doubt,33251,22465,0.03353652475929958
2020-S1,thought-terminating cliché,11825,6311,0.004211160807777392
2020-S2,appeal to authority,5987,1074,0.019921470620395954
2020-S2,"appeal to fear, prejudice",16269,3258,0.015794806210283285
2020-S2,appeal to hypocrisy (to quoque),9371,1414,0.016638410856436137
2020-S2,appeal to pity,5289,288,0.050455730498366935
2020-S2,appeal to popularity (bandwagon),4345,1085,0.007178071660007834
2020-S2,appeal to time,2515,833,0.006446753483931422
2020-S2,appeal to values/flag waving,28458,5978,0.035758069070125575
2020-S2,black-and-white fallacy,12055,2045,0.020403230833256125
2020-S2,causal oversimplification,10152,1702,0.023108072142052016
2020-S2,distraction,2359,334,0.017621175102455533
2020-S2,exaggeration or minimisation,15775,4073,0.008351189557054384
2020-S2,intentional vagueness,632,142,0.02192778727085154
2020-S2,loaded language,76917,15153,0.0022471634776294325
2020-S2,name calling,114184,24106,0.008429750756523413
2020-S2,reductio ad hitlerum,2725,480,0.026337170340278937
2020-S2,repetition,41250,7922,0.005612927658882105
2020-S2,slogans,15795,5745,0.013863107627955729
2020-S2,smears/doubt,58325,12175,0.009445109069144864
2020-S2,thought-terminating cliché,16600,3028,0.0033399402281545365
2021-S1,appeal to authority,13343,7049,0.017083018446350517
2021-S1,"appeal to fear, prejudice",54538,32387,0.013349831575636406
2021-S1,appeal to hypocrisy (to quoque),37399,12827,0.009748936370543748
2021-S1,appeal to pity,17504,3250,0.01205097609552952
2021-S1,appeal to popularity (bandwagon),13479,10348,0.007443664579655951
2021-S1,appeal to time,7880,8812,0.012560193377997408
2021-S1,appeal to values/flag waving,84866,45854,0.023551780838433567
2021-S1,black-and-white fallacy,36627,19106,0.014308027644293841
2021-S1,causal oversimplification,41530,18825,0.01359758563884339
2021-S1,distraction,7945,3462,0.008334045994415784
2021-S1,exaggeration or minimisation,50897,38119,0.009080233574941143
2021-S1,intentional vagueness,1774,1529,0.004028495861310599
2021-S1,loaded language,223720,131415,0.0028404582302310466
2021-S1,name calling,343861,200092,0.008460274515349475
2021-S1,reductio ad hitlerum,6045,3969,0.009977934511675168
2021-S1,repetition,113281,66109,0.003808050773756455
2021-S1,slogans,39580,33747,0.013731909755439142
2021-S1,smears/doubt,164223,111747,0.009601482955596596
2021-S1,thought-terminating cliché,45894,25843,0.0017007901951876514
2021-S2,appeal to authority,9617,7245,0.020154501102139677
2021-S2,"appeal to fear, prejudice",54276,44402,0.029410050991242498
2021-S2,appeal to hypocrisy (to quoque),26891,12879,0.021493398710614287
2021-S2,appeal to pity,12555,3398,0.02007183185513839
2021-S2,appeal to popularity (bandwagon),9333,10826,0.018752493022327732
2021-S2,appeal to time,7068,13872,0.013695056934943106
2021-S2,appeal to values/flag waving,68435,55133,0.03554810180207657
2021-S2,black-and-white fallacy,30835,24324,0.027429905146638567
2021-S2,causal oversimplification,30422,19304,0.038216079662610314
