term,diff
racist,-0.012088187936928946
putin,-0.009791662535256188
war,-0.008070599552345462
people,-0.0075993147213379506
ukraine,-0.00605099802789751
russia,-0.005122515360629681
racism,-0.0044820909709619265
comment,-0.004202810754017034
white,-0.004135339064034572
tyt,-0.00407473568849209
russian,-0.004051182120563483
black,-0.003985091533347928
world,-0.003809422140284002
refugee,-0.0035117114622239126
fact,-0.003263504831695353
medium,-0.003119977918265503
video,-0.003104922323185523
race,-0.002934708516073483
ukrainian,-0.002918333887956574
nazi,-0.0026604777388204368
abc,-0.0026478474078141306
right,-0.0026423592970484244
troll,-0.0025425019091131385
ass,-0.002525956359556445
coward,-0.0024002875507334086
nato,-0.002354755269776534
news,-0.00229136850464023
word,-0.002178558921447611
abbott,-0.002156585341432089
propaganda,-0.0021547737899351876
story,-0.002111162222268777
child,-0.0020235442206284946
ignorant,-0.002020440257343367
vice,-0.0019740827939890345
texas,-0.001893517927278767
guy,-0.0018069670759374877
point,-0.001805514690639792
history,-0.0018002261131819866
rich,-0.0017602686303620067
idea,-0.0017576278978870081
wing,-0.001744320836650986
poland,-0.001739905968304979
peanut,-0.001712695688370731
hate,-0.0016592626541051632
kid,-0.001635685124533744
english,-0.0016284709146984597
europe,-0.0016224667915146975
dumb,-0.0016144532669673515
group,-0.001608965910543517
color,-0.0015371729157318105
hypocrisy,-0.0015268084526739458
situation,-0.0015193949990800612
reporter,-0.0015170513205432995
ukrainians,-0.0015159177946381783
god,-0.001513024372107513
shit,-0.0014964013846152763
right wing,-0.0014710626822299318
wrong,-0.001470057082166905
lol,-0.0014252352425099383
real,-0.0013953520925473434
truck,-0.0013681595002769335
victim,-0.0013681476893101666
russians,-0.0013614151903060467
human,-0.0013601951559920116
sure,-0.0013367949897874019
argument,-0.0013351564020696166
nice,-0.0013031502745754616
west,-0.001296782850992226
black people,-0.001288713772475735
thinking,-0.001276362072548447
india,-0.0012680221477485638
language,-0.00126001515326598
european,-0.0012574720969759584
oz,-0.0012486869667916874
western,-0.0012399149702937823
minority,-0.0012282016453024095
difference,-0.0012061593392055344
iraq,-0.0012020070659215431
friend,-0.001197534071510783
education,-0.0011890918239579322
ignorance,-0.001174395185347276
dead,-0.0011593986824627043
bullshit,-0.0011581521958097488
damn,-0.0011380520060219356
grifter,-0.0011338556461322968
year,-0.0011337718602682885
time,-0.001129826755232849
supremacist,-0.0011285408590752874
fascist,-0.0011278483272138115
attention,-0.0011260667044132255
research,-0.001124864653974083
republican,-0.001120766310106581
channel,-0.00111612176195309
afghanistan,-0.0011148298830206433
smoothie,-0.0011135941553783411
asshole,-0.001095197792929256
life,-0.0010941246089156247
white supremacist,-0.0010911778771270939
tucker,-0.0010903061581317734
scammer,-0.0010888618959361605
ur,-0.0010885289700280423
professor,-0.0010884115308112305
republicans,-0.0010830232350396317
issue,-0.001070052166956473
cenk,-0.0010661292351310113
school,-0.0010515294814055869
african,-0.0010503589671419318
white people,-0.0010197887191990555
innocent,-0.0009833123858519492
small,-0.0009770050514383388
immigrant,-0.0009706337278235226
theory,-0.0009674468982132586
fight,-0.0009594305985528497
politic,-0.0009591090380809634
card,-0.0009561773571030516
psychopath,-0.000943415604730746
east,-0.0009349739893427171
immigration,-0.0009194315944464227
allergy,-0.0009171261170220188
ridiculous,-0.0009108482370644333
greedy,-0.0009063018261397836
germany,-0.0009052413959663901
homeless,-0.0008948516008151856
conservative,-0.000889844661467379
biased,-0.0008850279893928147
genocide,-0.000880999758929214
opinion,-0.0008635877828243347
chance,-0.0008624568771827187
type,-0.0008558363337079606
mad,-0.0008507954522795674
neo,-0.0008494140178414601
abc news,-0.0008469697779164408
able,-0.000846934365245982
asylum,-0.0008429053095756031
pathetic,-0.0008407336764322977
eu,-0.0008315731785352767
narrative,-0.0008300938645054688
logic,-0.0008269990058635278
double,-0.0008267317964618942
land,-0.0008250261647317554
youtube,-0.0008250119955174795
texans,-0.0008248159505890761
shame,-0.0008207194071607165
attack,-0.0008138933588825314
level,-0.0008072090241820998
religion,-0.0008024951164564124
abbot,-0.0007952696887489401
easy,-0.0007948914930360142
syria,-0.000792180915042924
hatred,-0.000788524430831648
sanction,-0.0007838724604109491
civilian,-0.0007832522049981659
viewer,-0.0007826430778400761
loser,-0.0007797149353921379
response,-0.0007719844622133
skin,-0.0007650039601274888
replacement,-0.0007605782681141704
cbs,-0.0007576259188743143
social,-0.0007567382291476136
mtg,-0.0007547227623694527
hypocrite,-0.0007546129668943675
weapon,-0.0007434622059756277
carlson,-0.000736115219312743
soldier,-0.0007353617656315123
media,-0.0007286000108251097
muslim,-0.0007235127274302572
dude,-0.0007184487589383592
nonsense,-0.0007160155515390481
stunt,-0.0007136179078549172
treatment,-0.0007063953420139255
topic,-0.0007052626630865322
worker,-0.0007023974740923729
zelensky,-0.0006989297183203557
excuse,-0.0006961321029960563
artist,-0.0006951102357626907
case,-0.0006926601057680444
way,-0.0006920759632975523
kind,-0.0006846449506784308
ana,-0.0006844460462128454
game,-0.0006836744514112358
week,-0.0006826399097108673
war crime,-0.0006810466594753049
self,-0.0006749900445930379
sex,-0.0006723551594381488
slave,-0.0006683830280606348
talking,-0.0006672711401442855
terrible,-0.0006658242086178049
mouth,-0.0006626995760669727
human right,-0.0006590540568688959
international,-0.0006576649594066748
different,-0.0006570891570460476
lazy,-0.000652690058923134
critical,-0.000651534050208377
winger,-0.0006502476172804691
parent,-0.0006489635834739674
conversation,-0.0006480492978586626
angry,-0.0006478594847444156
muslims,-0.0006438313367705648
fake news,-0.0006433817679681901
advantage,-0.0006417227572250684
greg,-0.000641120190128789
poor,-0.0006357616061201349
neo nazi,-0.0006301978888418757
moral,-0.0006282475056784173
college,-0.0006148587053005424
folk,-0.0006138497266713874
good,-0.0006090542303421936
gas,-0.0006077684445263984
delusional,-0.0006070310126011399
gullible,-0.0006036925167800825
change,-0.0006029388658433649
police,-0.0006006640991358442
alot,-0.0005991335875921737
putin war,-0.0005974845165933529
russia ukraine,-0.0005945340835132955
europeans,-0.000591038264917971
feeling,-0.0005908611592811476
class,-0.0005905499358588807
greg abbott,-0.00058984426177819
israel,-0.0005889527617038387
nationalist,-0.0005861151473672988
behavior,-0.0005857989179874908
population,-0.0005853622699424185
indian,-0.0005845592342966674
right winger,-0.0005807058258003899
girl,-0.0005802560277747482
proof,-0.0005792540071100295
supporter,-0.0005778307202071608
skill,-0.0005760924321160421
society,-0.0005712139579646743
pure,-0.0005674843640660757
catholic,-0.0005663636728040094
company,-0.0005629396236743725
dad,-0.0005619749826107133
uneducated,-0.0005602554690892082
peace,-0.0005580201003757532
slavery,-0.00055511049123975
close,-0.0005524006588673084
cop,-0.000552255150731003
ppl,-0.0005454587256571019
smart,-0.0005414489679265912
dictator,-0.0005334548371281662
conflict,-0.0005330999307511714
netflix,-0.0005325594779039176
journalist,-0.0005324166124744831
context,-0.0005313916181674775
bias,-0.0005313052425746474
love,-0.0005303516897406653
critical thinking,-0.0005303146618074494
death,-0.0005292814254537494
middle east,-0.0005286268653739534
supremacy,-0.0005284319079397887
thought,-0.0005251540177615196
subject,-0.0005228792162339872
iq,-0.0005225089297278428
remorse,-0.0005215008930251354
fault,-0.0005206436752818659
orange,-0.0005190350791024027
low,-0.0005176330428324487
position,-0.0005166563529505367
army,-0.0005163135201562689
special,-0.0005088272089199992
war criminal,-0.0005084720475602208
view,-0.0005077128712961261
mainstream,-0.0005028242784245608
christian,-0.0005009268784471526
murder,-0.0004997089977226557
world war,-0.0004985276327888835
false,-0.0004962256947860745
student,-0.0004953395817767676
standard,-0.0004946771570949753
murderer,-0.0004893373556404286
fake,-0.0004870044176939893
mask,-0.0004866092133429667
massive,-0.00048619370994457036
ukrainian people,-0.00048424702999708434
movie,-0.0004821336643758283
troop,-0.0004737578819460649
authoritarian,-0.0004737427684284817
paper,-0.0004706692444375304
hospital,-0.00046981416973002955
despicable,-0.00046333525316753874
buddy,-0.000461141050282472
mother,-0.0004609945737080623
disingenuous,-0.00045302336770076506
talking point,-0.0004524425058067011
clip,-0.00045200159985341704
ok,-0.0004510733469361434
nut,-0.00044293947046628284
ticket,-0.00044119988000896455
comment section,-0.00044040539217280004
adult,-0.00044034440947123867
fear,-0.00044005155983655223
progressive,-0.0004366481299263328
use,-0.00043293764235558934
republican party,-0.00043239510210941974
example,-0.00043209563451883224
stupid,-0.00042974079984441256
source,-0.000427025057717812
embarrassing,-0.00042651040785438737
gun,-0.00042460268549160613
red,-0.0004234718294123075
innocent people,-0.00042288017771519807
actual,-0.0004223866680653334
devil,-0.0004185927712806237
nuclear,-0.00041850006601242175
lmao,-0.0004167027024263812
large,-0.00041640532856729415
capable,-0.0004155646411630672
person,-0.00041399695527936453
train,-0.00041159224472430366
ashamed,-0.0004114761496622416
happy,-0.0004103013124578288
true,-0.0004055807294800896
labor,-0.0004049282335018226
cage,-0.000404635618078007
white supremacy,-0.00040461793148594374
look,-0.0004039451191200943
resource,-0.0004014064088193283
likely,-0.00039785740488429183
dummy,-0.0003966405603638869
cia,-0.00039654628950217414
heart,-0.00039564539054483033
fund,-0.0003930862819928619
sorry,-0.00039139688566687504
hero,-0.000390620184550514
blatant,-0.0003886058800468466
sympathy,-0.00038779445970716926
evidence,-0.0003823319696978167
hateful,-0.00038201998860792603
cost,-0.00038164790577563043
bible,-0.00038147144359183165
spy,-0.0003813854828184915
brown,-0.00038092315703438205
prison,-0.0003776188607549243
bc,-0.0003772900829779065
oil,-0.00037706062045388166
mainstream medium,-0.0003760469280339934
bitch,-0.00037461584627094006
hope,-0.00036998274193758964
cruz,-0.0003695725616630282
middle,-0.00036558124508457863
proud,-0.0003644812777576522
canada,-0.0003585726709506642
benefit,-0.000354840563598508
hot,-0.0003534112218840355
room,-0.0003504312396172185
iran,-0.0003495218480087344
flag,-0.0003476516743404595
cheap,-0.0003461325180513089
bus,-0.00034589134474458246
fine,-0.0003452764840384395
culture,-0.0003434515026125815
form,-0.000342328494005004
responsibility,-0.00034212821789313716
simple,-0.0003382650672656298
blm,-0.00033456947000503283
biden putin,-0.00033452688800112026
blood,-0.0003338964697663846
