number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_freeze_layers,params_gradient_accumulation_steps,params_learning_rate,params_max_length,params_num_epochs,params_threshold,params_weight_decay,state
0,0.3847271556362174,2025-12-29 16:53:08.104653,2025-12-29 17:23:09.027475,0 days 00:30:00.922822,4,0.15000000000000002,6,4,2.8418817478622228e-05,320,18,0.3,0.01,COMPLETE
1,0.22133561158233236,2025-12-29 17:23:09.153010,2025-12-29 17:30:57.748822,0 days 00:07:48.595812,16,0.1,2,4,1.2211037261966796e-05,320,12,0.25,0.02,COMPLETE
2,0.21396338182204291,2025-12-29 17:30:57.815697,2025-12-29 17:37:43.118631,0 days 00:06:45.302934,16,0.2,0,4,1.759349737230631e-05,256,24,0.25,0.02,COMPLETE
3,0.2796752169453953,2025-12-29 17:37:43.191927,2025-12-29 18:10:28.660416,0 days 00:32:45.468489,16,0.15000000000000002,6,2,1.1434759524560247e-05,384,18,0.25,0.01,COMPLETE
4,0.36786444657879674,2025-12-29 18:10:28.723007,2025-12-29 18:50:00.004545,0 days 00:39:31.281538,8,0.1,2,4,2.672644210652013e-05,512,16,0.15000000000000002,0.05,COMPLETE
5,0.380528244656663,2025-12-29 18:50:00.071112,2025-12-29 19:30:29.865509,0 days 00:40:29.794397,16,0.15000000000000002,6,1,1.1674490686518787e-05,384,22,0.1,0.04,COMPLETE
6,0.34983180810092324,2025-12-29 19:30:29.931776,2025-12-29 19:57:34.986798,0 days 00:27:05.055022,4,0.15000000000000002,2,4,1.1357522113225631e-05,320,20,0.1,0.05,COMPLETE
7,0.4083932771603129,2025-12-29 19:57:35.049924,2025-12-29 20:24:06.197800,0 days 00:26:31.147876,8,0.05,2,1,2.3066766372180217e-05,448,10,0.2,0.04,COMPLETE
8,0.3350166165225874,2025-12-29 20:24:06.320269,2025-12-29 21:11:29.758910,0 days 00:47:23.438641,8,0.2,6,2,1.3150510766211613e-05,512,24,0.3,0.04,COMPLETE
9,0.37429798643646134,2025-12-29 21:11:29.816378,2025-12-29 21:25:31.838022,0 days 00:14:02.021644,16,0.2,0,1,2.6659921682256022e-05,256,16,0.2,0.05,COMPLETE
10,0.4052714040886018,2025-12-29 21:25:31.897387,2025-12-29 21:51:38.937992,0 days 00:26:07.040605,8,0.05,4,1,2.067910912587668e-05,448,10,0.15000000000000002,0.03,COMPLETE
11,0.41646331176786555,2025-12-29 21:51:38.996318,2025-12-29 22:17:47.932492,0 days 00:26:08.936174,8,0.05,4,1,2.0677489671000642e-05,448,10,0.15000000000000002,0.03,COMPLETE
12,0.42001027953687076,2025-12-29 22:17:48.038155,2025-12-29 22:48:40.435576,0 days 00:30:52.397421,8,0.05,4,1,2.1075622273843308e-05,448,12,0.15000000000000002,0.03,COMPLETE
13,0.3897972584302904,2025-12-29 22:48:40.544447,2025-12-29 23:14:41.586072,0 days 00:26:01.041625,8,0.05,4,1,1.614118625973965e-05,448,14,0.15000000000000002,0.03,COMPLETE
14,0.3989015400369505,2025-12-29 23:14:41.650277,2025-12-29 23:45:30.622952,0 days 00:30:48.972675,8,0.1,4,1,1.861430873731756e-05,448,12,0.15000000000000002,0.02,COMPLETE
15,0.3967826211941964,2025-12-29 23:45:30.686031,2025-12-30 00:11:50.475819,0 days 00:26:19.789788,8,0.05,4,1,1.4969467362773357e-05,384,12,0.1,0.03,COMPLETE
16,0.4497608439041513,2025-12-30 00:11:50.545454,2025-12-30 00:53:20.300749,0 days 00:41:29.755295,4,0.1,4,2,2.2404526765683964e-05,512,14,0.2,0.02,COMPLETE
17,0.4065680391687628,2025-12-30 00:53:20.425591,2025-12-30 01:37:54.570043,0 days 00:44:34.144452,4,0.1,4,2,2.3472347868201037e-05,512,14,0.2,0.02,COMPLETE
18,0.4383087430978387,2025-12-30 01:37:54.637601,2025-12-30 02:23:03.631580,0 days 00:45:08.993979,4,0.1,2,2,2.3973167794918225e-05,512,14,0.2,0.01,COMPLETE
19,0.4189412546410806,2025-12-30 02:23:03.692620,2025-12-30 03:08:55.842271,0 days 00:45:52.149651,4,0.1,0,2,2.4153360529015825e-05,512,14,0.25,0.01,COMPLETE
